fiscal_year,Query_Run_Date,Customer,Majorcommandid,StartYearObligatedAmount,StartYearbaseandexercisedoptionsvalue,StartYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2004,59:26.2,Defense,ORG-2879,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,16,16,0,16
2012,59:26.2,Defense,ORG-2841,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,1,2,255000,2
2003,59:26.2,Defense,ORG-2858,Zero value,Zero value,Zero value,14,27,0,28
2011,59:26.2,Defense,ORG-2837,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,10,18,4176950.14,18
2001,59:26.2,Defense,ORG-2863,Less than $250 thousand,Zero value,Zero value,5165,5786,254005210,5790
2011,59:26.2,Defense,ORG-2787,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,1,1,197143.87,1
2007,59:26.2,Defense,ORG-2880,$5 - <$25 million,$5 - <$25 million,Zero value,1,7,5405725,7
2014,59:26.2,Defense,ORG-2841,$1 - <$5 million,$1 - <$5 million,$25 - <$100 million,1,1,1990700,1
2014,59:26.2,Defense,ORG-4383,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,1,3,241296.7872,3
2004,59:26.2,Defense,ORG-2942,$5 - <$25 million,Zero value,Zero value,19,47,263063928,56
2009,59:26.2,Defense,ORG-2944,Zero value,NULL,Less than $250 thousand,15,41,0,NULL
2007,59:26.2,Defense,ORG-2834,Deobligation,$25 - <$100 million,$1 - <$5 million,1,1,-775.26,1
2004,59:26.2,Defense,ORG-2945,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,1,2,473321,2
2010,59:26.2,Defense,ORG-2940,$250 thousand - <$1 million,$1 - <$5 million,Deobligation,1,2,538562.68,2
2009,59:26.2,Defense,ORG-2940,Zero value,Zero value,Deobligation,4,5,0,5
2008,59:26.2,Defense,ORG-2825,Less than $250 thousand,$250 thousand - <$1 million,$5 - <$25 million,1,4,243562,4
2009,59:26.2,Defense,ORG-2944,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,29,93,16624402.74,94
2014,59:26.2,Defense,ORG-2845,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,20,42,9347363.069,42
2008,59:26.2,Defense,ORG-2841,Zero value,NULL,$5 - <$25 million,1,2,0,NULL
2010,59:26.2,Defense,ORG-2845,Zero value,NULL,$1 - <$5 million,12,18,0,NULL
2010,59:26.2,Defense,ORG-2877,$5 - <$25 million,$1 - <$5 million,Deobligation,1,12,6066713.63,12
2008,59:26.2,Defense,ORG-2882,Zero value,$5 - <$25 million,$5 - <$25 million,2,2,0,2
2014,59:26.2,Defense,ORG-2774,$5 - <$25 million,$5 - <$25 million,Deobligation,3,41,25491058.37,41
2014,59:26.2,Defense,ORG-2939,$1 - <$5 million,$1 - <$5 million,Zero value,1,2,2690721,2
2007,59:26.2,Defense,ORG-2838,Zero value,Less than $250 thousand,Less than $250 thousand,6,6,0,6
2013,59:26.2,Defense,ORG-2834,Deobligation,Zero value,Zero value,122,135,-22470774.76,136
2013,59:26.2,Defense,ORG-2940,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,12916,17504,681054369.4,17541
2005,59:26.2,Defense,ORG-2845,Less than $250 thousand,Zero value,Zero value,993,1136,41130510.34,1330
2007,59:26.2,Defense,NULL,Deobligation,Less than $250 thousand,Deobligation,1,2,-21473.62,2
2014,59:26.2,Defense,ORG-2776,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,10,14,734141.6632,14
2013,59:26.2,Defense,ORG-2774,Zero value,Deobligation,Deobligation,2,3,0,3
2010,59:26.2,Defense,ORG-2937,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,22,89,38618891.89,93
2011,59:26.2,Defense,ORG-3960,Zero value,NULL,$1 - <$5 million,2,5,0,NULL
2011,59:26.2,Defense,ORG-3960,Zero value,NULL,Zero value,236,460,0,NULL
2012,59:26.2,Defense,ORG-2941,$5 - <$25 million,Deobligation,Deobligation,5,30,41783821,33
2009,59:26.2,Defense,ORG-2877,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,25,42,3098452.81,58
2005,59:26.2,Defense,ORG-2785,Deobligation,Zero value,Zero value,2,3,-182379,3
2002,59:26.2,Defense,ORG-2936,Zero value,NULL,Zero value,188,188,0,NULL
2006,59:26.2,Defense,ORG-2939,Zero value,NULL,Less than $250 thousand,1,1,0,NULL
2005,59:26.2,Defense,ORG-2825,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,1,1,40135,1
2008,59:26.2,Defense,ORG-2943,$250 thousand - <$1 million,Less than $250 thousand,Deobligation,1,7,282084,7
2013,59:26.2,Defense,ORG-2838,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,1,4,200623.9063,4
2013,59:26.2,Defense,ORG-2941,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,5,35,11604358.5,49
2014,59:26.2,Defense,NULL,Deobligation,Less than $250 thousand,Deobligation,1,3,-9300,3
2007,59:26.2,Defense,NULL,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,29,47,12830744.26,47
2009,59:26.2,Defense,ORG-2872,Zero value,Deobligation,Zero value,1,1,0,1
2010,59:26.2,Defense,ORG-2878,Deobligation,Zero value,Zero value,10,12,-958652.8,12
2004,59:26.2,Defense,ORG-2941,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,1,3,1142236,3
2005,59:26.2,Defense,ORG-2837,$1 - <$5 million,Zero value,Zero value,74,155,154382222,1232
2008,59:26.2,Defense,ORG-2843,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,1,3,485427,3
2009,59:26.2,Defense,ORG-2936,$5 - <$25 million,Deobligation,Deobligation,2,13,31895034.89,13
2006,59:26.2,Defense,ORG-2825,$100 - <$500 million,Zero value,Zero value,36,623,7310746469,686
2010,59:26.2,Defense,ORG-2875,$1 - <$5 million,$1 - <$5 million,Zero value,4,10,9470616.43,10
2000,59:26.2,Defense,ORG-2880,Zero value,NULL,Zero value,25,25,0,NULL
2013,59:26.2,Defense,ORG-2843,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,8,42,5479764.02,42
2008,59:26.2,Defense,ORG-2843,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,7,23,1011145.2,23
2010,59:26.2,Defense,ORG-2882,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,4,9,111079332.2,9
2011,59:26.2,Defense,ORG-2936,Less than $250 thousand,$250 thousand - <$1 million,Zero value,6,14,982005.75,14
2009,59:26.2,Defense,ORG-2790,Zero value,NULL,Greater than $500 million,9,9,0,NULL
2012,59:26.2,Defense,ORG-2777,Zero value,NULL,Deobligation,3,11,0,NULL
2003,59:26.2,Defense,ORG-2939,$25 - <$100 million,Zero value,Zero value,20,253,819808922,254
2010,59:26.2,Defense,ORG-2791,$5 - <$25 million,Zero value,Zero value,1,8,5396537.15,8
2014,59:26.2,Defense,ORG-2838,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,1,1,0,1
2003,59:26.2,Defense,ORG-2940,Zero value,NULL,Less than $250 thousand,10,10,0,NULL
2013,59:26.2,Defense,ORG-2943,Less than $250 thousand,Less than $250 thousand,Deobligation,103,254,4639954.656,254
2002,59:26.2,Defense,ORG-2875,Less than $250 thousand,Zero value,Zero value,3325,4051,243151640,4053
2006,59:26.2,Defense,ORG-2871,Deobligation,Zero value,Zero value,157,195,-10170045.81,195
2010,59:26.2,Defense,ORG-2943,$250 thousand - <$1 million,Zero value,Zero value,37,106,19380686.24,107
2013,59:26.2,Defense,ORG-2834,Deobligation,Deobligation,Less than $250 thousand,1,1,-3000,1
2006,59:26.2,Defense,ORG-2882,$250 thousand - <$1 million,Less than $250 thousand,Zero value,2,6,879178,6
2012,59:26.2,Defense,ORG-2875,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,15,47,180760553.6,47
2005,59:26.2,Defense,ORG-2937,Deobligation,Zero value,Zero value,3813,7135,-198052031,7183
2007,59:26.2,Defense,ORG-2945,Less than $250 thousand,$250 thousand - <$1 million,$5 - <$25 million,1,6,224577,6
2003,59:26.2,Defense,ORG-2869,Zero value,Zero value,Less than $250 thousand,7,7,0,7
2013,59:26.2,Defense,ORG-2941,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,13,1590,2483184001,1591
2011,59:26.2,Defense,ORG-2943,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,5,13,2999327.71,14
2014,59:26.2,Defense,ORG-2875,Zero value,NULL,$100 - <$500 million,5,5,0,NULL
2014,59:26.2,Defense,ORG-2871,$250 thousand - <$1 million,$1 - <$5 million,$250 thousand - <$1 million,2,12,1682984.68,12
2008,59:26.2,Defense,ORG-2876,$1 - <$5 million,Deobligation,Deobligation,4,37,9340168.51,37
2012,59:26.2,Defense,ORG-2944,$1 - <$5 million,Deobligation,Deobligation,5,27,9322937.49,31
2010,59:26.2,Defense,ORG-2877,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,58,257,26796860.8,257
2008,59:26.2,Defense,ORG-2787,Zero value,NULL,Greater than $500 million,14,14,0,NULL
2005,59:26.2,Defense,ORG-2836,Deobligation,Zero value,Zero value,282,386,-11284334,386
2006,59:26.2,Defense,NULL,$1 - <$5 million,$5 - <$25 million,$1 - <$5 million,1,4,1513102,4
2004,59:26.2,Defense,ORG-2869,Zero value,NULL,$1 - <$5 million,2,2,0,NULL
2009,59:26.2,Defense,ORG-2843,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,1,2,227158.58,2
2014,59:26.2,Defense,ORG-2845,Zero value,NULL,Less than $250 thousand,4,11,0,NULL
2013,59:26.2,Defense,ORG-2882,$25 - <$100 million,Zero value,Zero value,1,15,31116953.7,15
2014,59:26.2,Defense,ORG-2773,Deobligation,Less than $250 thousand,Less than $250 thousand,3,3,-12660.1202,3
2012,59:26.2,Defense,ORG-2842,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,4,24,33152675.48,34
2014,59:26.2,Defense,ORG-2945,Less than $250 thousand,$250 thousand - <$1 million,Zero value,11,29,1860943,29
2014,59:26.2,Defense,NULL,$25 - <$100 million,$25 - <$100 million,$5 - <$25 million,4,54,141343812.5,54
2006,59:26.2,Defense,ORG-2941,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,21,42,1868448,44
2008,59:26.2,Defense,ORG-2941,Greater than $500 million,Greater than $500 million,$100 - <$500 million,1,24,521596539.7,24
2001,59:26.2,Defense,ORG-2848,Zero value,NULL,Zero value,42,42,0,NULL
2005,59:26.2,Defense,NULL,Less than $250 thousand,Less than $250 thousand,$25 - <$100 million,1,1,6149.3,1
2009,59:26.2,Defense,NULL,$25 - <$100 million,$5 - <$25 million,$5 - <$25 million,3,44,96304748.75,65
2012,59:26.2,Defense,ORG-2940,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,7,24,3213119.73,24
2013,59:26.2,Defense,ORG-2936,$5 - <$25 million,$5 - <$25 million,Less than $250 thousand,9,83,103781828.5,122
2012,59:26.2,Defense,ORG-2940,$250 thousand - <$1 million,$5 - <$25 million,Deobligation,1,2,884251.05,2
2004,59:26.2,Defense,ORG-2844,Zero value,NULL,$1 - <$5 million,2,2,0,NULL
2009,59:26.2,Defense,ORG-2787,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,8,13,1165307.8,13
2009,59:26.2,Defense,ORG-2942,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,11,31,23369745.7,33
2009,59:26.2,Defense,ORG-2825,Zero value,Less than $250 thousand,Less than $250 thousand,165,193,0,200
2007,59:26.2,Defense,ORG-2943,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,667,1217,329184034.2,1236
2008,59:26.2,Defense,ORG-2872,$5 - <$25 million,$1 - <$5 million,Less than $250 thousand,1,14,10123672.37,14
2002,59:26.2,Defense,ORG-2944,$25 - <$100 million,Zero value,Zero value,8,98,305032056,98
2012,59:26.2,Defense,ORG-2941,Zero value,NULL,$100 - <$500 million,2,2,0,NULL
2013,59:26.2,Defense,ORG-2871,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,7,28,14437223.07,28
2012,59:26.2,Defense,ORG-2845,Zero value,NULL,Zero value,38,67,0,NULL
2014,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,$1 - <$5 million,Deobligation,1,12,979037.2578,12
2003,59:26.2,Defense,ORG-2875,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1,3,613589,3
2011,59:26.2,Defense,ORG-2871,$250 thousand - <$1 million,$1 - <$5 million,Zero value,1,2,588000,2
2013,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,8,19,4486254,19
2006,59:26.2,Defense,ORG-2877,Less than $250 thousand,$100 - <$500 million,$100 - <$500 million,1,1,19566,1
2001,59:26.2,Defense,ORG-2943,Deobligation,Zero value,Zero value,30,36,-6422696,37
2006,59:26.2,Defense,ORG-2825,$1 - <$5 million,Zero value,$1 - <$5 million,5,10,14459612,10
2006,59:26.2,Defense,ORG-2787,Zero value,NULL,$25 - <$100 million,1,1,0,NULL
2010,59:26.2,Defense,ORG-2869,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,4,14,8981681.65,14
2012,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,$1 - <$5 million,$100 - <$500 million,1,1,400000,1
2013,59:26.2,Defense,ORG-2790,Deobligation,Deobligation,Deobligation,7,15,-66890.8301,15
2011,59:26.2,Defense,ORG-2787,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,1,1,617308,1
2014,59:26.2,Defense,ORG-2939,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,2731,3779,109327529.7,3779
2009,59:26.2,Defense,ORG-2844,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,4,7,6726398.17,7
2009,59:26.2,Defense,ORG-2936,$100 - <$500 million,Greater than $500 million,Greater than $500 million,2,18,481563764.1,33
2008,59:26.2,Defense,ORG-2943,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,2,10,5563745,10
2009,59:26.2,Defense,ORG-2936,Zero value,NULL,$1 - <$5 million,39,102,0,NULL
2004,59:26.2,Defense,ORG-2937,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,3,3,5257280.68,3
2012,59:26.2,Defense,ORG-2875,Zero value,$1 - <$5 million,Zero value,1,2,0,2
2008,59:26.2,Defense,ORG-2825,$5 - <$25 million,$1 - <$5 million,$1 - <$5 million,10,65,64125606.73,87
2012,59:26.2,Defense,ORG-2842,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,102,146,49997955.31,249
2013,59:26.2,Defense,ORG-2872,Deobligation,Less than $250 thousand,Less than $250 thousand,10,28,-21905823.3,28
2011,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,71,211,42576461.67,211
2010,59:26.2,Defense,ORG-2871,$5 - <$25 million,Deobligation,Deobligation,1,5,5226279.5,5
2012,59:26.2,Defense,ORG-2837,$5 - <$25 million,Zero value,Zero value,1,6,6284691.74,6
2014,59:26.2,Defense,ORG-2937,Zero value,$250 thousand - <$1 million,$1 - <$5 million,2,2,0,2
2014,59:26.2,Defense,ORG-2825,Less than $250 thousand,Less than $250 thousand,$100 - <$500 million,1,6,156370,6
2013,59:26.2,Defense,ORG-2834,Less than $250 thousand,Less than $250 thousand,$1 - <$5 million,2,4,436186.22,4
2002,59:26.2,Defense,ORG-2940,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,14,19,932095.67,19
2010,59:26.2,Defense,ORG-2939,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,3,8,1199066.21,8
2013,59:26.2,Defense,ORG-2871,$5 - <$25 million,$25 - <$100 million,Zero value,1,7,19383785.5,7
2011,59:26.2,Defense,ORG-2944,$1 - <$5 million,$1 - <$5 million,$25 - <$100 million,2,6,4650121,9
2013,59:26.2,Defense,ORG-2877,Less than $250 thousand,Less than $250 thousand,Deobligation,514,1200,26160550.76,1200
2013,59:26.2,Defense,ORG-2836,Zero value,NULL,$5 - <$25 million,3,7,0,NULL
2006,59:26.2,Defense,ORG-2939,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,1,1,306550,1
2014,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,$5 - <$25 million,$250 thousand - <$1 million,1,5,790442.2187,8
2010,59:26.2,Defense,NULL,Zero value,NULL,Zero value,694,2300,0,NULL
2005,59:26.2,Defense,ORG-2944,Less than $250 thousand,Zero value,Zero value,15756,17818,696934560,17843
2012,59:26.2,Defense,ORG-2835,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,19,158,34035332.06,158
2014,59:26.2,Defense,ORG-2787,Zero value,NULL,$5 - <$25 million,57,83,0,NULL
2003,59:26.2,Defense,ORG-2836,$25 - <$100 million,Zero value,Zero value,2,31,57558923,31
2004,59:26.2,Defense,ORG-2939,Less than $250 thousand,Zero value,Zero value,1288,1704,66055979,1704
2007,59:26.2,Defense,ORG-2825,$5 - <$25 million,Deobligation,Deobligation,1,3,13768814,3
2007,59:26.2,Defense,ORG-2869,$250 thousand - <$1 million,$250 thousand - <$1 million,$5 - <$25 million,2,4,1592302,4
2008,59:26.2,Defense,ORG-2937,$250 thousand - <$1 million,$1 - <$5 million,Less than $250 thousand,1,3,879027.4,3
2008,59:26.2,Defense,ORG-2882,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,26,70,14952791.99,72
2009,59:26.2,Defense,ORG-2941,Less than $250 thousand,Less than $250 thousand,Greater than $500 million,199,199,497699,199
2000,59:26.2,Defense,ORG-2872,$25 - <$100 million,Zero value,Zero value,17,132,721268550,132
2012,59:26.2,Defense,NULL,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,68,173,45261195.44,173
2006,59:26.2,Defense,ORG-2870,Less than $250 thousand,Zero value,Zero value,406,500,13165743.19,500
2005,59:26.2,Defense,ORG-2940,Less than $250 thousand,$100 - <$500 million,$100 - <$500 million,6,6,224132.62,6
2012,59:26.2,Defense,ORG-2837,Less than $250 thousand,Zero value,Zero value,12,13,468146.81,13
2006,59:26.2,Defense,ORG-2944,$1 - <$5 million,$25 - <$100 million,$100 - <$500 million,1,1,3980000,3
2009,59:26.2,Defense,ORG-2837,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,7,11,59139896.7,3724
2013,59:26.2,Defense,ORG-2837,Deobligation,Zero value,Zero value,13,18,-879759.47,18
2012,59:26.2,Defense,ORG-2943,Deobligation,Zero value,Zero value,329,367,-23821627.08,370
2013,59:26.2,Defense,ORG-4404,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,7,26,76202966.41,30
2009,59:26.2,Defense,ORG-2936,$5 - <$25 million,Less than $250 thousand,Less than $250 thousand,2,7,21239150.2,7
2009,59:26.2,Defense,ORG-2944,Zero value,Zero value,Less than $250 thousand,1,1,0,1
2008,59:26.2,Defense,ORG-2775,$1 - <$5 million,$1 - <$5 million,Zero value,2,9,3732775,9
2010,59:26.2,Defense,ORG-2837,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,9,26,82013394.79,3780
2013,59:26.2,Defense,ORG-2871,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,2,5,1366550.055,5
2013,59:26.2,Defense,ORG-2941,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,3,12,0,12
2005,59:26.2,Defense,ORG-2880,$25 - <$100 million,Zero value,Zero value,4,39,231324483,39
2003,59:26.2,Defense,ORG-2825,$5 - <$25 million,Zero value,Zero value,645,2853,6398594030,2964
2008,59:26.2,Defense,ORG-2841,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,3,8,1770325,8
2001,59:26.2,Defense,ORG-2861,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,1,3,53022857,3
2008,59:26.2,Defense,ORG-2937,Zero value,$1 - <$5 million,$5 - <$25 million,1,1,0,1
2007,59:26.2,Defense,ORG-2775,Zero value,NULL,$250 thousand - <$1 million,66,94,0,NULL
2006,59:26.2,Defense,ORG-2937,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,16,42,8144829,43
2012,59:26.2,Defense,ORG-2786,Zero value,NULL,$250 thousand - <$1 million,93,93,0,NULL
2012,59:26.2,Defense,ORG-2834,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,4,51,42336606.4,63
2004,59:26.2,Defense,ORG-2834,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,1,3,424656,3
2007,59:26.2,Defense,ORG-2944,$1 - <$5 million,$25 - <$100 million,$100 - <$500 million,5,38,14814428.92,40
2009,59:26.2,Defense,ORG-2936,Less than $250 thousand,$1 - <$5 million,$5 - <$25 million,1,1,5,1
2007,59:26.2,Defense,ORG-2882,Less than $250 thousand,$1 - <$5 million,Deobligation,1,8,62206.04,8
2008,59:26.2,Defense,ORG-2844,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,2,5,177982,5
2007,59:26.2,Defense,ORG-2876,Zero value,Less than $250 thousand,Zero value,20,36,0,38
2012,59:26.2,Defense,ORG-2825,$1 - <$5 million,Zero value,Zero value,416,2763,933371293.6,2774
2011,59:26.2,Defense,ORG-2942,$250 thousand - <$1 million,Zero value,Zero value,2,3,879794,3
2008,59:26.2,Defense,ORG-2835,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,199,531,397638941,6327
2006,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,Less than $250 thousand,Zero value,1,2,274269.98,3
2001,59:26.2,Defense,ORG-2869,Zero value,Zero value,Zero value,5,10,0,10
2013,59:26.2,Defense,ORG-2835,Less than $250 thousand,Less than $250 thousand,Zero value,358,729,17927163.85,729
2006,59:26.2,Defense,ORG-2871,Deobligation,$5 - <$25 million,$5 - <$25 million,1,1,-500000,1
2012,59:26.2,Defense,ORG-2872,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,47,104,153961857.5,104
2011,59:26.2,Defense,ORG-2843,$250 thousand - <$1 million,$1 - <$5 million,Deobligation,1,5,515036.12,5
2011,59:26.2,Defense,ORG-2871,$1 - <$5 million,$250 thousand - <$1 million,$1 - <$5 million,1,3,1675848.79,3
2012,59:26.2,Defense,ORG-2875,$250 thousand - <$1 million,$1 - <$5 million,Zero value,2,4,1863199.12,4
2009,59:26.2,Defense,ORG-2869,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,319,644,692915516.5,644
2009,59:26.2,Defense,ORG-2835,$250 thousand - <$1 million,$1 - <$5 million,Less than $250 thousand,8,40,5834778.76,40
2004,59:26.2,Defense,ORG-2876,Zero value,$1 - <$5 million,$1 - <$5 million,2,2,0,2
2011,59:26.2,Defense,ORG-2783,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,1,3,47398.22,3
2010,59:26.2,Defense,ORG-2872,Zero value,Zero value,$250 thousand - <$1 million,2,5,0,5
2011,59:26.2,Defense,ORG-2939,Zero value,$5 - <$25 million,$5 - <$25 million,2,3,0,3
